epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
125,1224.25,0.71196,0.67842,1.1033,0.5133,0.46359,0.44266,0.1569,2.76916,1.74769,3.44088,0.000656379,0.000656379,0.000656379
126,1234.02,0.72075,0.67698,1.10564,0.37143,0.4598,0.37743,0.14303,2.78696,1.86458,3.45021,0.000652712,0.000652712,0.000652712
127,1243.76,0.72181,0.67054,1.10724,0.55527,0.53994,0.50415,0.19157,2.65788,1.81306,3.15513,0.000649046,0.000649046,0.000649046
128,1253.54,0.69836,0.66115,1.09765,0.57138,0.52646,0.53982,0.18663,2.70598,1.80774,3.25206,0.00064538,0.00064538,0.00064538
129,1263.37,0.6957,0.6653,1.09546,0.53065,0.47832,0.48342,0.19673,2.71326,1.81879,3.2101,0.000641714,0.000641714,0.000641714
130,1273.13,0.72209,0.66737,1.109,0.39084,0.50397,0.41843,0.16904,2.69073,1.89556,3.29378,0.000638047,0.000638047,0.000638047
131,1282.94,0.6962,0.65847,1.09407,0.61553,0.49625,0.54754,0.20459,2.68636,1.9019,3.30599,0.000634381,0.000634381,0.000634381
132,1292.78,0.72343,0.67596,1.10986,0.53252,0.55412,0.51883,0.19662,2.68829,1.84202,3.28623,0.000630715,0.000630715,0.000630715
133,1302.54,0.69379,0.66457,1.11108,0.48379,0.53748,0.51046,0.16599,2.72165,1.78499,3.24338,0.000627048,0.000627048,0.000627048
134,1312.25,0.68714,0.66519,1.0907,0.44363,0.50022,0.49019,0.18534,2.7117,1.7743,3.24842,0.000623382,0.000623382,0.000623382
135,1321.99,0.69014,0.64327,1.09069,0.4096,0.57268,0.48432,0.19689,2.66377,1.76921,3.21303,0.000619716,0.000619716,0.000619716
136,1331.79,0.68,0.6464,1.09447,0.46028,0.52265,0.46018,0.18186,2.74365,1.78317,3.25007,0.000616049,0.000616049,0.000616049
